epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.45557,2.84212,5.6241,4.26519,0,0,0,0,0,3.37877,5.9644,4.15892,0,0,0
2,4.91509,2.77445,5.46868,4.29247,0,0,0,0,0,3.37887,5.96415,4.15895,1.07219e-06,1.07219e-06,1.07219e-06
3,7.59709,2.96684,5.69356,4.22893,0,0,0,0,0,3.37897,5.96399,4.15899,1.90876e-06,1.90876e-06,1.90876e-06
4,10.0425,2.96217,5.45392,4.29692,0,0,0,0,0,3.37906,5.96385,4.15902,2.50971e-06,2.50971e-06,2.50971e-06
5,12.4706,2.82997,5.63545,4.33889,0,0,0,0,0,3.37916,5.96371,4.15905,2.87504e-06,2.87504e-06,2.87504e-06
6,14.6674,2.88106,5.75759,4.27678,0,0,0,0,0,3.37927,5.96353,4.15909,3.00475e-06,3.00475e-06,3.00475e-06
7,16.8069,3.19513,5.64878,4.22945,0,0,0,0,0,3.37936,5.96341,4.15912,2.89884e-06,2.89884e-06,2.89884e-06
8,18.9078,2.69932,5.50701,4.35603,0,0,0,0,0,3.37947,5.96314,4.15916,2.55731e-06,2.55731e-06,2.55731e-06
9,21.0191,2.63808,5.52294,4.29917,0,0,0,0,0,3.37958,5.96298,4.1592,1.98016e-06,1.98016e-06,1.98016e-06
10,23.1514,2.70731,5.73877,4.32004,0,0,0,0,0,3.37968,5.963,4.15924,1.16739e-06,1.16739e-06,1.16739e-06
