epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,63.6906,0.7839,1.11456,1.17302,0.64701,0.7,0.8524,0.59808,0.5836,1.6504,1.44772,1.37157,2.75718e-05,2.75718e-05,2.75718e-05
38,65.6968,0.45786,0.70339,0.96922,0.64701,0.7,0.8524,0.59808,0.5836,1.6504,1.44772,1.37157,2.79018e-05,2.79018e-05,2.79018e-05
39,67.7203,0.64696,0.93536,1.02056,0.67394,0.69074,0.85257,0.59795,0.56179,1.62585,1.47916,1.36615,2.82082e-05,2.82082e-05,2.82082e-05
40,69.4907,0.80191,0.83737,1.16665,0.67394,0.69074,0.85257,0.59795,0.56179,1.62585,1.47916,1.36615,2.84911e-05,2.84911e-05,2.84911e-05
41,71.3318,0.75766,0.92581,1.06113,0.68206,0.66552,0.76929,0.51497,0.48791,1.59595,1.48955,1.35806,2.87504e-05,2.87504e-05,2.87504e-05
42,73.2151,0.87998,1.88263,1.27725,0.68206,0.66552,0.76929,0.51497,0.48791,1.59595,1.48955,1.35806,2.89861e-05,2.89861e-05,2.89861e-05
43,75.1355,0.84634,1.22121,1.22832,0.67822,0.65,0.76238,0.49929,0.47306,1.62244,1.52895,1.38579,2.91983e-05,2.91983e-05,2.91983e-05
44,77.1497,1.07475,0.98551,1.45156,0.67822,0.65,0.76238,0.49929,0.47306,1.62244,1.52895,1.38579,2.93869e-05,2.93869e-05,2.93869e-05
45,79.4575,0.61311,0.92507,0.99474,0.69168,0.65,0.76251,0.49811,0.47229,1.61076,1.54551,1.38222,2.9552e-05,2.9552e-05,2.9552e-05
46,81.6725,0.81893,0.99716,1.26861,0.69168,0.65,0.76251,0.49811,0.47229,1.61076,1.54551,1.38222,2.96935e-05,2.96935e-05,2.96935e-05
47,83.7558,0.88527,1.46228,1.36126,0.73572,0.65,0.7323,0.4705,0.43907,1.62313,1.60113,1.38817,2.98114e-05,2.98114e-05,2.98114e-05
48,85.6741,0.78723,1.63342,1.17226,0.73572,0.65,0.7323,0.4705,0.43907,1.62313,1.60113,1.38817,2.99058e-05,2.99058e-05,2.99058e-05
49,87.6855,0.67282,0.72235,1.24558,0.68408,0.65,0.70533,0.44285,0.41426,1.62426,1.62055,1.38907,2.99766e-05,2.99766e-05,2.99766e-05
50,89.4729,0.80313,0.81087,1.29462,0.68408,0.65,0.70533,0.44285,0.41426,1.62426,1.62055,1.38907,3.00238e-05,3.00238e-05,3.00238e-05
51,91.4467,0.85786,0.83912,1.15555,0.65922,0.67498,0.69821,0.43419,0.40628,1.59247,1.63206,1.38179,3.00475e-05,3.00475e-05,3.00475e-05
52,93.3633,0.97473,0.96867,1.34818,0.65922,0.67498,0.69821,0.43419,0.40628,1.59247,1.63206,1.38179,3.00476e-05,3.00476e-05,3.00476e-05
53,95.4091,0.64629,0.69844,1.1783,0.65922,0.67498,0.69821,0.43419,0.40628,1.59247,1.63206,1.38179,3.00242e-05,3.00242e-05,3.00242e-05
54,97.5822,0.78823,0.91342,1.23436,0.69186,0.67154,0.69635,0.43779,0.40819,1.57704,1.67563,1.38245,2.99772e-05,2.99772e-05,2.99772e-05
55,99.4901,0.80046,0.95288,1.12111,0.69186,0.67154,0.69635,0.43779,0.40819,1.57704,1.67563,1.38245,2.99066e-05,2.99066e-05,2.99066e-05
56,101.429,1.10243,1.4481,1.58945,0.69186,0.67154,0.69635,0.43779,0.40819,1.57704,1.67563,1.38245,2.98125e-05,2.98125e-05,2.98125e-05
57,103.689,0.94471,1.50077,1.37507,0.7258,0.5,0.69158,0.43356,0.40262,1.58378,1.70895,1.39258,2.96948e-05,2.96948e-05,2.96948e-05
58,105.661,0.86454,1.45268,1.26624,0.7258,0.5,0.69158,0.43356,0.40262,1.58378,1.70895,1.39258,2.95535e-05,2.95535e-05,2.95535e-05
59,107.793,0.78202,0.82943,1.15402,0.7258,0.5,0.69158,0.43356,0.40262,1.58378,1.70895,1.39258,2.93887e-05,2.93887e-05,2.93887e-05
60,110.384,0.99922,0.77618,1.54684,0.85549,0.48111,0.67794,0.4203,0.3908,1.60969,1.7784,1.41032,2.92003e-05,2.92003e-05,2.92003e-05
61,113.008,0.63643,0.68052,1.06361,0.85549,0.48111,0.67794,0.4203,0.3908,1.60969,1.7784,1.41032,2.89884e-05,2.89884e-05,2.89884e-05
62,115.048,0.70372,0.8965,1.0462,0.85549,0.48111,0.67794,0.4203,0.3908,1.60969,1.7784,1.41032,2.87529e-05,2.87529e-05,2.87529e-05
63,117.115,0.77083,0.82392,1.15476,0.85505,0.47927,0.67728,0.41985,0.3706,1.64745,1.85327,1.42897,2.84938e-05,2.84938e-05,2.84938e-05
64,119.063,0.62645,0.65331,1.06737,0.85505,0.47927,0.67728,0.41985,0.3706,1.64745,1.85327,1.42897,2.82112e-05,2.82112e-05,2.82112e-05
65,121.063,0.66098,0.6831,1.21609,0.85505,0.47927,0.67728,0.41985,0.3706,1.64745,1.85327,1.42897,2.7905e-05,2.7905e-05,2.7905e-05
